address,title,area,sex_landlord,rent_cost_day,name_landlord,layout,city,sumpeople,beds,link,rate
北京市朝阳区紫薇天悦3号楼,鸟巢水立方地铁旁欧式田园清新舒适大两居,90平米,Female,528,吴尚泽,2室1厅1卫1厨1阳台,北京,宜住6人,共2张,http://bj.xiaozhu.com/fangzi/10120279960.html,5分
北京市朝阳区亚运村街道中科院华严北里小区12号楼,鸟巢水立方奥体奥森盘古后海南锣鼓巷A温馨小屋,25平米,Female,209,Miss_fog,4室0厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/13872676902.html,4.9分
北京市朝阳区南三里屯西,三里屯工体旁，温馨舒适的超值两居,75平米,Male,620,秋掌柜,2室1厅1卫1厨2阳台,北京,宜住5人,共2张,http://bj.xiaozhu.com/fangzi/3265341629.html,nan
北京市朝阳区沿海赛洛城,复古公主风·直达欢乐谷、天坛,62平米,Male,438,一凡雅域,1室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/12650912402.html,5分
北京市朝阳区金隅凤麟洲,朝阳大悦城青年路欧式阳光钢琴大两居,115平米,Female,538,in巴黎清晨,2室2厅2卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/18328328701.html,nan
北京市东城区和平里北街,地铁13号柳芳站旁雍和宫、地坛、天安门、故宫,70平米,Male,499,平平ppp,2室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/3806207630.html,4.9分
北京市朝阳区彩虹路,798酒仙桥中赫电通创意广场望京两人间上铺,6平米,Female,118,Lisa三姐的美丽DH,6室2厅4卫2厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/2221548344.html,5分
北京市通州区永顺南街新光大中心,北关地铁站 豪华装修 全新五星级高级公寓,48平米,Female,298,河马与公主的城堡,1室0厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/15959387303.html,5分
北京市西城区北礼士路60号院,北京金融街阜外人民儿童北大医院车公庄地铁两居,65平米,Female,598,大庄庄,2室1厅1卫1厨1阳台,北京,宜住6人,共2张,http://bj.xiaozhu.com/fangzi/8577381664.html,4.9分
北京市昌平区流村镇漆园村,京郊西北上风上水，山林之中，山间别墅,500平米,Female,3600,西山里,9室5厅10卫1厨4阳台,北京,宜住大于10人,共10张,http://bj.xiaozhu.com/fangzi/10678928059.html,nan
北京市朝阳区亚运村育慧北路8号世纪村西区,{可月租}3紧邻鸟巢·多纷鲜果电影主题两居A,68平米,Female,438,弥邸设计师民宿,2室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/1681105835.html,4.9分
北京市丰台区泥洼北路六号周庄子家园,北京西站南站307医院舒适两居,78平米,Male,358,小房东东,2室1厅1卫1厨1阳台,北京,宜住5人,共2张,http://bj.xiaozhu.com/fangzi/854148539.html,4.9分
北京市昌平区立水桥北京北小区,立水桥5号线鸟巢水立方北欧loft大卧,20平米,Male,238,小明同学_M,3室2厅2卫1厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/16083686003.html,nan
北京市朝阳区广渠路36号,【花圃】双井/国贸/王府井/天安门舒适整租,45平米,Female,399,波罗蜜,1室0厅1卫1厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/13259252601.html,5分
北京市朝阳区亚运村街道中科院华严北里小区12号楼,鸟巢水立方奥体奥森盘古后海南锣鼓巷C温馨小屋,15平米,Female,159,Miss_fog,4室0厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/13903192001.html,4.8分
北京市顺义区罗马湖公园左堤路,北京最美临湖艺术园区,500平米,Male,6288,杜公馆,5室4厅3卫1厨2阳台,北京,宜住大于10人,共6张,http://bj.xiaozhu.com/fangzi/4620363614.html,5分
北京市昌平区天通苑,天通苑西三区地铁旁温馨干净的单间正规次卧,9平米,Female,125,温馨一家人,2室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/77207401.html,4.9分
北京市海淀区后屯路32号院2号楼,【特价】地铁永泰庄3分钟  临近鸟巢 水立方,9平米,Female,158,jialejia,2室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/8864826164.html,4.9分
北京市东城区朝阳门内大街288号院,中式电梯一居，两地铁交界，南锣/雍和宫/协和,45平米,Male,419,秋掌柜,1室0厅1卫1厨0阳台,北京,宜住2人,共2张,http://bj.xiaozhu.com/fangzi/3219610030.html,4.9分
北京市海淀区牡丹园小区西里,牡丹园鸟巢北医三院地铁10号精装修温馨大床房,68平米,Male,398,志远_,2室1厅1卫1厨1阳台,北京,宜住4人,共3张,http://bj.xiaozhu.com/fangzi/3316117930.html,4.8分
北京市朝阳区六里屯北里华阳家园,国贸三里屯蓝港妇产医院旁精装舒适大两居,100平米,Female,550,Emma的小家,2室1厅2卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/16623898503.html,5分
北京市海淀区华润橡树湾三期,五环边豪华两居整租！宜居宜购物！家电设施全！,95平米,Female,538,simple佳,2室1厅1卫1厨1阳台,北京,宜住4人,共4张,http://bj.xiaozhu.com/fangzi/1383114235.html,5分
北京市朝阳区北沙滩七号院1号楼2单元,紧邻鸟巢.星空电影主题开间,45平米,Female,328,桑梓公寓,1室0厅1卫1厨1阳台,北京,宜住2人,共2张,http://bj.xiaozhu.com/fangzi/17881737203.html,5分
北京市朝阳区凤凰城,三元桥10号线凤凰城高层公寓独立大套房,35平米,Female,309,郑艳琼,3室1厅2卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/4680994113.html,5分
北京市朝阳区雅成二里天鹅湾,青年路5min天鹅湾典雅朝南loft一居,57平米,Female,598,Kimberley_Hwa,1室1厅2卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/3058288429.html,5分
北京市丰台区石榴庄路石榴园北里,临南站天坛天安门王府井优惠特价地铁口主卧,25平米,Female,198,胖胖俏妞,2室1厅1卫1厨1阳台,北京,宜住2人,共2张,http://bj.xiaozhu.com/fangzi/1572097835.html,4.8分
北京市朝阳区三里屯南31楼,三里屯 工体 使馆区 清新文艺房,60平米,Female,538,贝壳裡,1室1厅1卫1厨1阳台,北京,宜住3人,共2张,http://bj.xiaozhu.com/fangzi/9013966064.html,5分
北京市朝阳区双桥路双惠苑,禅茶丽舍(天安门国贸四惠传媒大学二外双桥),18平米,Female,159,禅茶丽舍,3室2厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/6095189616.html,5分
北京市东城区西花市,市中心地铁直达步行天安门故宫天坛同仁协和电梯,65平米,Female,438,北京海韵之家,1室1厅1卫1厨1阳台,北京,宜住4人,共3张,http://bj.xiaozhu.com/fangzi/2996142862.html,4.9分
北京市丰台区马家堡路180号,三环四环马家堡地铁4号线北京南站南苑机场亲子,110平米,Female,498,途小米,1室2厅2卫1厨0阳台,北京,宜住3人,共2张,http://bj.xiaozhu.com/fangzi/16228542203.html,nan
北京市海淀区北新家园,8号线育新地铁站、西三旗舒适阳光一居,69平米,Male,305,韩先生的家,1室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/15682947901.html,4.8分
北京市朝阳区鑫兆佳园34号楼,六号线直达南锣鼓巷CBD国贸柏林爱乐温馨家园,60平米,Male,280,非凡猪猪,1室1厅1卫1厨1阳台,北京,宜住3人,共1张,http://bj.xiaozhu.com/fangzi/15557684803.html,5分
北京市朝阳区南湖渠西里6号楼,阳光舒适望京地铁房，商圈环绕，可直接速定,15平米,Female,199,1个大菠萝,2室1厅1卫1厨1阳台,北京,宜住1人,共1张,http://bj.xiaozhu.com/fangzi/14931239003.html,4.9分
北京市朝阳区双桥路2号,国贸东部地铁口 阳光独居,56平米,Female,316,黄小仙儿,1室0厅1卫1厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/8773968964.html,nan
北京市怀柔区田仙峪村,箭扣长城脚下，慕田峪长城相邻民居小院,168平米,Male,800,田仙峪,2室2厅2卫1厨1阳台,北京,宜住6人,共4张,http://bj.xiaozhu.com/fangzi/1229179205.html,5分
北京市朝阳区青年路小悦中心,地铁6号线青年路朝阳大悦城达美中心Loft,60平米,Male,518,大脸小屋,1室1厅1卫1厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/17765956703.html,nan
北京市朝阳区建业苑,大四居可住十人宇宙旅游核心地地铁旁天安门,127平米,Male,659,快乐屋,4室1厅1卫1厨1阳台,北京,宜住10人,共6张,http://bj.xiaozhu.com/fangzi/3649828130.html,4.8分
北京市丰台区六里桥东太平桥西里(北京西站南广场、电力医院南、距离六里桥东地铁站步行5分钟),舒服好住的榻榻米，很适合一个人居住,10平米,Male,238,frank123,2室1厅1卫1厨1阳台,北京,宜住1人,共1张,http://bj.xiaozhu.com/fangzi/2068360781.html,4.8分
北京市朝阳区时代国际嘉园,国贸双井CBD 10号线双井站最美夜景房,61平米,Female,588,匆匆时光过客,2室1厅1卫1厨0阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/15527473803.html,5分
北京市丰台区泥洼北路6号周庄子家园,特价走5分到地铁近北京西站307医院温馨两居,78平米,Male,338,小房东东,2室1厅1卫1厨1阳台,北京,宜住5人,共3张,http://bj.xiaozhu.com/fangzi/5778891914.html,5分
北京市丰台区马家堡西路26号院,4号线&10号线双地铁精装单间 有大客厅,15平米,Female,268,soniaPY,2室1厅1卫1厨3阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/11465453360.html,4.8分
北京市通州区朝阳北路,地铁直达南锣鼓巷，一家以酒为主题的民宿酒窝儿,30平米,Female,248,宿醉酒家,4室3厅2卫1厨3阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/5836824614.html,5分
北京市朝阳区珠江绿洲家园,传媒、北二外、国贸、天安门、双人床飘窗房,15平米,Female,168,悦来小舍,3室2厅2卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/8741091063.html,4.9分
北京市朝阳区东伯街10号院时代国际嘉园,长租优惠【最美夜景公寓】CBD国贸地铁2分钟,60平米,Female,398,猪小春,1室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/3924219129.html,4.9分
北京市丰台区马家堡西路,紧邻北京南站 楼下是地铁四号线 跃层大户型,15平米,Female,168,小黑家,4室2厅2卫1厨1阳台,北京,宜住1人,共1张,http://bj.xiaozhu.com/fangzi/765746039.html,5分
北京市朝阳区建国路88号SOHO现代城1号楼,【探索者之家】国贸CBD中国风单间独卫星宿1,20平米,Male,370,探索者之家,3室2厅2卫1厨1阳台,北京,宜住2人,共2张,http://bj.xiaozhu.com/fangzi/5976964316.html,nan
北京市丰台区保利百合花园9号楼,毗邻北京西站六里桥地铁旁保利百合花园精装三室,105平米,Male,568,萤火虫H,3室1厅1卫1厨1阳台,北京,宜住6人,共4张,http://bj.xiaozhu.com/fangzi/2834872763.html,4.8分
北京市通州区朝阳北路,地铁直达南锣鼓巷，少女心，粉色房,28平米,Female,268,宿醉酒家,4室2厅2卫1厨3阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/5836466814.html,5分
北京市朝阳区立水桥站A口50米,新春特价 五道口东直门 望京 精致一居,60平米,Male,288,安安同学,1室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/2594670163.html,4.9分
北京市朝阳区亚运村街道中科院华严北里小区12号楼,鸟巢水立方奥体奥森盘古后海南锣鼓巷B温馨小屋,17平米,Female,199,Miss_fog,4室0厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/13897693301.html,4.8分
北京市朝阳区酒仙桥飘home,望京798恒通商务园14号线将台地铁口大一居,65平米,Male,428,恋家001,1室1厅1卫1厨1阳台,北京,宜住2人,共2张,http://bj.xiaozhu.com/fangzi/3772886230.html,4.9分
北京市海淀区罗庄南里,知春路-电影学院-蓟门桥温馨一居--整租,50平米,Male,398,后海胡同出租,1室1厅1卫0厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/6241254616.html,5分
北京市通州区京贸国际城,通州武夷花园. 干净温馨精装修大两居,104平米,Female,398,噜啦噜啦,2室2厅1卫1厨2阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/8423182264.html,5分
北京市朝阳区阿曼寓所,朝阳大悦城6号线地铁房,110平米,Female,498,MiniLong,2室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/5145069114.html,4.9分
北京市朝阳区常营柏林爱乐,六号线直达国贸CBD传媒南锣鼓巷温馨两居爱巢,60平米,Male,398,非凡猪猪,1室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/15722683101.html,nan
北京市海淀区小营东路机械学院,永泰庄 五道口 上地 鸟巢 后海南锣温馨两居,50平米,Male,278,草帽海贼团,2室1厅1卫0厨1阳台,北京,宜住4人,共3张,http://bj.xiaozhu.com/fangzi/8709290364.html,5分
